ggml_cuda_init: found 1 CUDA devices (Total VRAM: 45596 MiB):
  Device 0: NVIDIA L40S, compute capability 8.9, VMM: yes, VRAM: 45596 MiB

Computing statistics for /home/user1/workspace/bobchenyx/26-ICCAD/qwen3-imatrix-q8_0-E4.gguf (384 tensors)

 Layer	       Tensor	          Σ(Act²)	  Min	            Max	           μ	   σ	 % Active	N	   Entropy	E (norm)	ZD	  CosSim
=========================================================================================================================================================================
   47	attn_k              	   1904.85	  0.1110	   274.7266	  0.93	  7.94	  100.00%	  2048	    7.3157	 66.51%	      1.42%	  0.9273
   45	attn_k              	   1359.84	  0.0346	    57.7613	  0.66	  3.13	  100.00%	  2048	    7.9614	 72.38%	      3.27%	  0.9105
   46	attn_k              	   1350.01	  0.0882	   100.1031	  0.66	  3.66	  100.00%	  2048	    8.0916	 73.56%	      2.29%	  0.8586
   44	attn_k              	    614.00	  0.0275	    24.2253	  0.30	  1.55	  100.00%	  2048	    7.8976	 71.80%	      2.39%	  0.9686
   42	attn_k              	    486.99	  0.0265	    34.7514	  0.24	  1.36	  100.00%	  2048	    7.9137	 71.94%	      2.05%	  0.9735
   43	attn_k              	    469.04	  0.0000	    20.1944	  0.23	  1.12	   99.95%	  2048	    8.2619	 75.11%	      2.20%	  0.8191
   41	attn_k              	    323.94	  0.0149	    19.4385	  0.16	  0.94	  100.00%	  2048	    7.7773	 70.70%	      2.00%	  0.8959
   40	attn_k              	    205.04	  0.0096	     9.7703	  0.10	  0.55	  100.00%	  2048	    7.9936	 72.67%	      2.20%	  0.9356
   38	attn_k              	    137.89	  0.0012	     8.3657	  0.07	  0.37	  100.00%	  2048	    8.1737	 74.31%	      1.95%	  0.9903
   39	attn_k              	    121.34	  0.0000	     7.4839	  0.06	  0.32	   99.95%	  2048	    8.3269	 75.70%	      2.15%	  0.9905
   37	attn_k              	     71.04	  0.0009	     4.5743	  0.03	  0.20	  100.00%	  2048	    7.9566	 72.33%	      2.00%	  0.9780
   36	attn_k              	     49.54	  0.0003	     3.8037	  0.02	  0.14	  100.00%	  2048	    8.1752	 74.32%	      1.95%	  0.9876
   35	attn_k              	     40.40	  0.0004	     2.9908	  0.02	  0.12	  100.00%	  2048	    7.8585	 71.44%	      1.81%	  0.9634
   29	attn_k              	     32.87	  0.0004	     5.8347	  0.02	  0.15	  100.00%	  2048	    7.2734	 66.12%	      1.56%	  0.5764
   26	attn_k              	     30.77	  0.0007	     3.3029	  0.02	  0.10	  100.00%	  2048	    8.1242	 73.86%	      1.61%	  0.9839
   33	attn_k              	     29.48	  0.0006	     2.6162	  0.01	  0.09	  100.00%	  2048	    8.0161	 72.87%	      2.00%	  0.9894
   34	attn_k              	     28.00	  0.0000	     2.7118	  0.01	  0.09	   99.95%	  2048	    7.9329	 72.12%	      1.86%	  0.9832
   27	attn_k              	     23.95	  0.0000	     2.6455	  0.01	  0.08	   99.95%	  2048	    8.2193	 74.72%	      1.71%	  0.9943
   28	attn_k              	     23.77	  0.0007	     2.0852	  0.01	  0.07	  100.00%	  2048	    8.1899	 74.45%	      1.90%	  0.9723
