ggml_cuda_init: found 1 CUDA devices (Total VRAM: 45596 MiB):
  Device 0: NVIDIA L40S, compute capability 8.9, VMM: yes, VRAM: 45596 MiB

Computing statistics for /home/user1/workspace/bobchenyx/26-ICCAD/qwen35-imatrix-q8_0-callback-864.gguf (510 tensors)

 Layer	       Tensor	          Σ(Act²)	  Min	            Max	           μ	   σ	 % Active	N	   Entropy	E (norm)	ZD	  CosSim
=========================================================================================================================================================================
   37	attn_gate           	   2786.10	  0.4063	   268.9705	  1.36	  6.53	  100.00%	  2048	    9.3607	 85.10%	      2.25%	  0.9947
   36	attn_gate           	   2719.36	  0.3700	   327.0919	  1.33	  7.76	  100.00%	  2048	    9.1317	 83.02%	      1.76%	  0.0000
   38	attn_gate           	   2478.73	  0.3928	   285.9940	  1.21	  6.72	  100.00%	  2048	    9.2618	 84.20%	      1.90%	  0.9932
    0	attn_gate           	   2363.86	  0.4272	   396.5406	  1.15	  9.47	  100.00%	  2048	    8.8324	 80.29%	      0.44%	  0.0000
   34	attn_gate           	   2189.24	  0.2630	   354.7218	  1.07	  8.24	  100.00%	  2048	    8.6555	 78.69%	      1.32%	  0.9867
    8	attn_gate           	   2087.14	  0.2795	   395.9033	  1.02	  9.43	  100.00%	  2048	    8.2552	 75.05%	      0.78%	  0.0000
   33	attn_gate           	   2063.24	  0.2711	   238.5431	  1.01	  5.86	  100.00%	  2048	    8.9795	 81.63%	      1.71%	  0.9917
   32	attn_gate           	   2050.41	  0.2433	   319.4897	  1.00	  7.54	  100.00%	  2048	    8.5687	 77.90%	      1.51%	  0.0000
   10	attn_gate           	   2047.32	  0.2151	   508.4196	  1.00	 11.62	  100.00%	  2048	    7.7976	 70.89%	      0.59%	  0.9962
    9	attn_gate           	   2008.42	  0.2310	   396.7228	  0.98	  9.28	  100.00%	  2048	    8.2437	 74.94%	      0.78%	  0.9970
   18	attn_gate           	   1949.74	  0.0785	   334.2072	  0.95	  7.83	  100.00%	  2048	    8.5991	 78.17%	      1.12%	  0.9987
   30	attn_gate           	   1930.90	  0.1159	   388.5415	  0.94	  8.92	  100.00%	  2048	    8.2237	 74.76%	      1.17%	  0.9992
   20	attn_gate           	   1888.11	  0.2435	   392.0877	  0.92	  8.95	  100.00%	  2048	    8.3297	 75.72%	      0.98%	  0.0000
    2	attn_gate           	   1883.36	  0.1662	   675.9977	  0.92	 15.09	  100.00%	  2048	    6.9007	 62.73%	      0.54%	  0.9972
    1	attn_gate           	   1874.29	  0.1842	   589.6859	  0.92	 13.30	  100.00%	  2048	    7.1508	 65.01%	      0.63%	  0.9417
   13	attn_gate           	   1831.51	  0.1127	   263.8363	  0.89	  6.51	  100.00%	  2048	    8.6569	 78.70%	      1.07%	  0.9965
   29	attn_gate           	   1825.90	  0.0908	   409.8906	  0.89	  9.34	  100.00%	  2048	    8.0396	 73.09%	      1.03%	  0.9996
   26	attn_gate           	   1825.01	  0.1513	   341.3830	  0.89	  7.90	  100.00%	  2048	    8.4515	 76.83%	      1.03%	  0.9978
   22	attn_gate           	   1806.49	  0.2004	   423.7420	  0.88	  9.58	  100.00%	  2048	    8.0958	 73.60%	      0.88%	  0.9983
   14	attn_gate           	   1801.14	  0.0814	   260.0565	  0.88	  6.31	  100.00%	  2048	    8.7748	 79.77%	      1.12%	  0.9986
   21	attn_gate           	   1799.61	  0.1139	   354.7949	  0.88	  8.11	  100.00%	  2048	    8.3984	 76.35%	      1.17%	  0.9990
   25	attn_gate           	   1789.37	  0.0913	   282.1889	  0.87	  6.67	  100.00%	  2048	    8.6866	 78.97%	      1.17%	  0.9967
   28	attn_gate           	   1748.46	  0.0969	   377.4416	  0.85	  8.61	  100.00%	  2048	    8.1934	 74.49%	      1.03%	  0.0000
    5	attn_gate           	   1724.71	  0.1920	   432.5686	  0.84	 10.04	  100.00%	  2048	    7.6219	 69.29%	      0.49%	  0.4608
   16	attn_gate           	   1723.23	  0.0624	   290.7415	  0.84	  6.82	  100.00%	  2048	    8.6482	 78.62%	      1.03%	  0.0000
   17	attn_gate           	   1712.75	  0.0466	   314.7269	  0.84	  7.28	  100.00%	  2048	    8.5754	 77.96%	      0.93%	  0.9986
    6	attn_gate           	   1708.78	  0.2154	   400.8223	  0.83	  9.40	  100.00%	  2048	    7.7523	 70.48%	      0.59%	  0.9993
   24	attn_gate           	   1660.57	  0.0792	   333.1713	  0.81	  7.68	  100.00%	  2048	    8.3158	 75.60%	      1.03%	  0.0000
   12	attn_gate           	   1639.58	  0.0930	   286.8236	  0.80	  6.84	  100.00%	  2048	    8.4437	 76.76%	      0.88%	  0.0000
    4	attn_gate           	   1321.10	  0.1854	    69.8433	  0.65	  3.11	  100.00%	  2048	    8.9862	 81.69%	      1.51%	  0.0000
    3	attn_k              	   2607.82	  0.1032	  1137.0350	  1.27	 25.91	  100.00%	  2048	    5.2478	 47.71%	      0.39%	  0.0000
    7	attn_k              	   2232.72	  0.1241	   612.9888	  1.09	 16.05	  100.00%	  2048	    6.1239	 55.67%	      0.44%	  0.0000
   39	attn_k              	   2078.84	  0.2782	   381.7429	  1.02	  8.61	  100.00%	  2048	    8.8488	 80.44%	      0.83%	  0.0000
   11	attn_k              	   2006.36	  0.1205	   526.0669	  0.98	 13.03	  100.00%	  2048	    6.7041	 60.95%	      0.59%	  0.0000
   35	attn_k              	   1763.51	  0.1626	   407.3841	  0.86	  9.28	  100.00%	  2048	    8.0921	 73.56%	      0.73%	  0.0000
   19	attn_k              	   1508.55	  0.0315	   275.4331	  0.74	  7.62	  100.00%	  2048	    7.5089	 68.26%	      0.59%	  0.0000
   31	attn_k              	   1473.68	  0.0899	   293.4354	  0.72	  7.49	  100.00%	  2048	    7.6972	 69.97%	      0.98%	  0.0000
   23	attn_k              	   1470.40	  0.1016	   331.0586	  0.72	  8.30	  100.00%	  2048	    7.2301	 65.73%	      0.59%	  0.0000
   15	attn_k              	   1376.77	  0.0235	   275.8256	  0.67	  7.40	  100.00%	  2048	    7.1956	 65.41%	      0.63%	  0.0000
   27	attn_k              	   1193.48	  0.0367	   194.6169	  0.58	  5.69	  100.00%	  2048	    7.5760	 68.87%	      0.73%	  0.0000
   39	attn_output         	    133.25	  0.0000	    38.6466	  0.03	  0.68	   99.78%	  4096	    6.6172	 55.14%	      0.22%	  0.0000
   35	attn_output         	     26.08	  0.0000	     2.1353	  0.01	  0.05	  100.00%	  4096	    8.1349	 67.79%	      1.56%	  0.0000
   31	attn_output         	      9.07	  0.0000	     1.1787	  0.00	  0.03	  100.00%	  4096	    8.5214	 71.01%	      0.59%	  0.0000
   27	attn_output         	      4.62	  0.0000	     0.5504	  0.00	  0.01	  100.00%	  4096	    9.6734	 80.61%	      0.54%	  0.0000
   23	attn_output         	      4.25	  0.0000	     0.3774	  0.00	  0.01	  100.00%	  4096	   10.0611	 83.84%	      1.07%	  0.0000
   19	attn_output         	      3.64	  0.0000	     0.3341	  0.00	  0.01	  100.00%	  4096	   10.2322	 85.27%	      0.78%	  0.0000
   15	attn_output         	      3.16	  0.0000	     0.2749	  0.00	  0.01	  100.00%	  4096	   10.1971	 84.98%	      0.76%	  0.0000
   11	attn_output         	      2.05	  0.0000	     0.3535	  0.00	  0.01	   99.54%	  4096	    9.3520	 77.93%	      0.32%	  0.0000
    7	attn_output         	      0.89	  0.0000	     0.2639	  0.00	  0.00	   97.53%	  4096	    8.5274	 71.06%	      0.12%	  0.0000
    3	attn_output         	      0.33	  0.0000	     0.0207	  0.00	  0.00	   85.42%	  4096	    9.9295	 82.75%	      0.49%	  0.0000
    3	attn_q              	   2607.82	  0.1032	  1137.0350	  1.27	 25.91	  100.00%	  2048	    5.2478	 47.71%	      0.39%	  0.0000
    7	attn_q              	   2232.72	  0.1241	   612.9888	  1.09	 16.05	  100.00%	  2048	    6.1239	 55.67%	      0.44%	  0.0000
   39	attn_q              	   2078.84	  0.2782	   381.7429	  1.02	  8.61	  100.00%	  2048	    8.8488	 80.44%	      0.83%	  0.0000
   11	attn_q              	   2006.36	  0.1205	   526.0669	  0.98	 13.03	  100.00%	  2048	    6.7041	 60.95%	      0.59%	  0.0000
   35	attn_q              	   1763.51	  0.1626	   407.3841	  0.86	  9.28	  100.00%	  2048	    8.0921	 73.56%	      0.73%	  0.0000
